Key,Name,Format
x,X,long
y,Y,long
z,Z,long
intensity,Intensity,unsigned short
return_num,Return Number,bit[3]
num_pulse_returns,Number of Returns (Given Pulse),bit[3]
scan_dir_flag,Scan Direction Flag,bit
edge_flight_line,Edge of Flight Line,bit
classification,Classification,unsigned char
scan_angle,Scan Angle,char
user_data,User Data,unsigned char
point_source_id,Point Source Id,unsigned short
gps_time,GPS Time,double
wave_packet_descriptor,Wave Packet Descriptor Index,unsigned char
offset_to_waveform,Byte Offset to Waveform Data,unsigned long long
waveform_packet_size,Waveform Packet Size in Bytes,unsigned long
return_point,Return Point Waveform Location,float
parametric_dx,Parametric dx,float
parametric_dy,Parametric dy,float
parametric_dz,Parametric dz,float
