Value,Description
0,Created but Never Classified
1,Unclassified
2,Ground
3,Low Vegetation
4,Medium Vegetation
5,High Vegetation
6,Building
7,Low Point (Noise)
8,Model Key-Point (Mass Point)
9,Water
10,Reserved for ASPRS Definition
11,Reserved for ASPRS Definition
12,Overlap Points
13-31,Reserved for ASPRS Definition
