Value,Description
0,Created but Never Classified
1,Unclassified
2,Ground
3,Low Vegetation
4,Medium Vegetation
5,High Vegetation
6,Building
7,Low Point (Noise)
8,Reserved
9,Water
10,Rail
11,Road Surface
12,Reserved
13,Wire _ Guard (Shield)
14,Wire _ Conductor (Phase)
15,Transmission Tower
16,Wire-Structure Connector
17,Bridge Deck
18,High Noise
19,Overhead Structure
20,Ignored Ground
21,Snow
22,Temporal Exclusion
23-63,Reserved
64-255,User Definable
